2023137870, Disturbance, 600 BLOCK  RIDGEWAY AVE, 06/11,2023 @ 09:14
2023137869, 911, 800 BLOCK  CHERRY ST, 06/11,2023 @ 09:07
2023137867, 911, 2600 BLOCK  MALLARD CT, 06/11,2023 @ 09:06
2023137865, 911, 700 BLOCK  FAIRVIEW AVE, 06/11,2023 @ 09:03
2023137863, 911, 100 BLOCK  E OLD PLANK RD, 06/11,2023 @ 08:49
2023137837, 911, 0 BLOCK  HOMINY TRL, 06/11,2023 @ 07:39
2023137828, Trespassing, 100 BLOCK  N TENTH ST, 06/11,2023 @ 07:13
2023137811, Trespassing, 3200 BLOCK  CLARK LN, 06/11,2023 @ 05:41
2023137810, 911, 1700 BLOCK  KITTY HAWK DR, 06/11,2023 @ 05:33
2023137796, Disturbance, 100 BLOCK  W ASH ST, 06/11,2023 @ 04:34
2023137793, Disturbance, 400 BLOCK  W OLD PLANK RD, 06/11,2023 @ 04:25
2023137792, GTA, 100 BLOCK  HOLLY RIDGE LN, 06/11,2023 @ 04:12
2023137791, 911, 100 BLOCK  W ASH ST, 06/11,2023 @ 03:57
2023137787, 911, 3100 BLOCK  I70 DR SE, 06/11,2023 @ 03:38
2023137772, Disturbance, 200 BLOCK  E TEXAS AVE, 06/11,2023 @ 02:48
2023137769, Disturbance, 200 BLOCK  N FIFTH ST, 06/11,2023 @ 02:36
2023137764, Assault, 4900 BLOCK  ROYAL LYTHAM DR, 06/11,2023 @ 02:28
2023137763, GTA, 1500 BLOCK  ROSS ST, 06/11,2023 @ 02:24
2023137756, Disturbance, 1700 BLOCK  PARIS RD, 06/11,2023 @ 01:58
2023137733, Warrant, 100 BLOCK  S PROVIDENCE RD, 06/11,2023 @ 01:09
2023137725, 911, 3300 BLOCK  DOVE DR, 06/11,2023 @ 00:54
2023137723, 911, 2100 BLOCK  COBBLESTONE CT, 06/11,2023 @ 00:53
2023137716, 911, 2300 BLOCK  THOMAS DR, 06/11,2023 @ 00:45
2023137709, Trespassing, 300 BLOCK  MCBAINE AVE, 06/11,2023 @ 00:34
2023137708, 911, PLYMOUTH DR/DEAD END, 06/11,2023 @ 00:32
2023137701, Theft, 3100 BLOCK  WINGATE CT, 06/11,2023 @ 00:06
2023137693, Disturbance, 900 BLOCK  CHERRY ST, 06/10,2023 @ 23:49
2023137673, 911, 5100 BLOCK  GLENCAIRN DR, 06/10,2023 @ 23:02
2023137662, 911, 4300 BLOCK  MEXICO GRAVEL RD, 06/10,2023 @ 22:35
2023137658, 911, 800 BLOCK  MOUNT VERNON AVE, 06/10,2023 @ 22:21
2023137656, 911, 6300 BLOCK  LEUPOLD CT, 06/10,2023 @ 22:13
2023137654, 911, 4800 BLOCK  CLARK LN, 06/10,2023 @ 22:12
2023137652, Trespassing, 700 BLOCK  E BUSINESS LOOP 70, 06/10,2023 @ 22:11
2023137649, Harassment, 900 BLOCK  MADISON ST, 06/10,2023 @ 22:03
2023137648, 911, 200 BLOCK  W CRAIG ST, 06/10,2023 @ 21:58
2023137646, 911, 3100 BLOCK  S OLD 63, 06/10,2023 @ 21:51
2023137642, Disturbance, 4100 BLOCK  DEER ST, 06/10,2023 @ 21:41
2023137636, 911, 0 BLOCK  NAVAHO AVE, 06/10,2023 @ 21:32
2023137635, Disturbance, 1000 BLOCK  CLAUDELL LN, 06/10,2023 @ 21:30
2023137634, 911, 0 BLOCK  ALLEN ST, 06/10,2023 @ 21:30
2023137630, Disturbance, 1000 BLOCK  CLAUDELL LN, 06/10,2023 @ 21:21
2023137625, Vandalism, 900 BLOCK  W ASH ST, 06/10,2023 @ 21:09
2023137623, 911, BLUE RIDGE RD/SKYLANE DR, 06/10,2023 @ 21:07
2023137610, 911, 2300 BLOCK  BERNADETTE DR, 06/10,2023 @ 20:51
2023137607, Theft, 100 BLOCK  ANTELOPE DR, 06/10,2023 @ 20:46
2023137597, 911, 200 BLOCK  E FOREST AVE, 06/10,2023 @ 20:36
2023137596, Disturbance, 1400 BLOCK  SMILEY LN, 06/10,2023 @ 20:33
